,0,1,2,3,4,5,6,7,8
374,43,-1,76,0,44,19,32,32,0
375,56,2,88,0,54,-5,32,33,2
376,48,0,81,-4,46,0,32,34,2
377,55,1,77,0,54,0,23,23,0
378,37,2,97,0,34,-2,60,64,4
379,44,0,86,0,42,-19,42,44,2
380,37,0,78,0,-2,4,42,81,40
381,49,1,95,-3,50,0,46,46,0
382,37,0,95,1,10,0,58,84,26
383,44,0,99,-1,42,-16,56,58,2
384,107,-4,108,0,70,0,1,38,36
385,37,0,77,0,26,-7,41,52,10
386,56,0,86,1,56,0,31,30,0
387,42,0,80,-7,42,0,38,39,0
388,37,0,76,0,36,3,39,39,0
389,80,1,84,0,-28,0,4,112,108
390,45,3,79,0,44,-2,34,35,2
391,43,0,89,5,42,0,46,48,2
392,44,1,86,0,44,4,43,42,0
393,50,-1,86,0,50,-1,36,37,0
394,51,-1,86,0,50,-6,36,37,2
395,45,-1,78,-6,46,14,33,32,0
396,46,0,86,0,46,4,41,40,0
397,37,0,83,0,30,-23,46,52,6
398,42,5,84,1,42,0,42,43,0
399,56,0,89,0,56,0,33,32,0
400,37,0,79,-5,26,0,43,54,10
401,42,-1,88,0,42,0,45,46,2
402,37,0,75,0,20,5,38,54,16
403,37,0,96,0,18,-29,59,78,18
404,85,0,89,0,6,26,4,84,80
405,53,0,84,0,54,11,32,30,0
406,37,0,81,0,24,-18,44,57,14
407,37,0,77,5,26,0,40,51,10
408,41,0,76,0,42,25,35,35,0
409,41,-5,88,0,42,10,47,46,0
410,45,-4,107,0,44,-19,62,63,2
411,56,0,107,0,56,26,51,50,0
412,49,1,106,0,46,-3,58,60,2
413,45,1,86,-3,44,0,40,42,2
414,50,-2,81,-6,50,-8,32,32,0
415,48,-2,95,0,46,-3,47,49,2
416,37,0,83,-1,18,0,47,65,18
417,41,0,82,0,38,-21,41,43,2
418,62,0,109,0,62,11,48,47,0
419,43,-2,77,0,42,-16,34,36,2
420,50,0,110,1,50,0,60,61,2
421,37,0,77,0,34,-2,40,44,4
422,48,-4,79,0,46,0,31,33,2
423,37,0,77,0,0,-10,40,77,36
424,49,1,78,0,50,14,29,29,0
425,55,1,81,0,54,0,27,27,0
426,58,3,81,-5,56,0,24,24,0
427,37,0,81,5,34,1,43,47,4
428,46,-2,93,3,46,5,47,46,0
429,41,-3,78,0,42,12,37,37,0
430,46,5,86,0,46,7,40,39,0
431,56,0,96,0,54,14,40,42,2
432,42,-3,99,0,42,0,57,58,2
433,45,-3,85,-1,44,0,41,41,0
434,41,0,81,0,42,17,40,39,0
435,46,0,88,0,44,-26,42,44,2
436,80,-4,84,0,-14,0,4,99,96
437,85,0,88,1,-2,0,3,91,88
438,37,0,75,0,26,23,38,49,12
439,56,-1,96,0,54,3,40,42,2
440,41,2,86,5,42,10,45,45,0
441,37,0,77,0,26,-2,41,52,10
442,83,0,86,0,-6,-21,3,94,90
443,41,-2,81,0,42,6,40,39,0
444,44,-3,86,0,44,0,42,42,0
445,44,2,84,0,44,15,40,40,0
446,44,0,76,1,44,8,32,32,0
447,37,0,77,0,28,511,40,48,8
448,37,0,81,0,24,-5,44,57,14
449,44,3,76,0,44,12,32,32,0
450,37,0,77,-1,34,2,40,43,4
451,37,0,79,0,36,-8,42,43,2
452,54,-1,82,0,54,0,28,28,0
453,49,0,95,2,50,1,46,46,0
454,37,0,76,0,28,24,39,48,8
455,44,1,86,0,44,22,42,42,0
456,45,0,77,0,44,-14,32,34,2
457,42,-2,85,0,42,0,43,44,0
458,51,0,83,0,52,9,32,32,0
459,37,0,78,-4,28,0,41,50,8
460,42,0,78,-3,42,0,37,37,0
461,47,0,76,7,46,0,30,30,0
462,57,0,82,5,56,0,25,25,0
463,56,0,95,0,54,1,39,41,2
464,105,0,106,-3,72,8,1,34,34
465,56,0,82,0,56,27,26,25,0
466,45,0,77,0,46,31,31,30,0
467,57,0,81,3,56,0,24,24,0
468,59,0,86,0,60,3,28,27,0
469,37,0,81,0,20,6,44,60,16
470,43,0,77,-7,42,0,34,36,2
471,51,5,102,0,52,9,51,50,0
472,37,0,95,-2,18,-10,58,77,18
473,37,0,81,0,38,9,43,42,0
474,58,0,88,5,56,0,30,31,2
475,37,0,106,0,24,-2,69,83,14
476,43,-2,81,0,42,-10,37,39,2
477,42,4,86,0,42,0,43,44,2
478,43,-1,83,0,42,-3,40,42,2
479,43,1,102,0,42,0,60,61,2
480,56,0,90,0,54,-16,34,35,2
481,44,0,86,-2,42,-30,42,44,2
482,43,0,86,2,42,-1,43,45,2
483,37,0,106,7,36,0,69,70,2
484,64,0,113,0,62,-12,48,51,2
485,44,3,81,0,42,-13,37,39,2
486,37,0,79,-4,36,-5,41,43,2
487,37,0,78,0,10,20,41,68,26
488,45,0,86,6,44,-12,41,42,2
489,41,0,83,0,42,9,41,41,0
490,49,0,82,0,50,11,33,33,0
491,76,2,81,1,-40,11,5,122,118
492,53,0,86,1,52,-14,33,35,2
493,37,0,76,-1,30,0,39,45,6
494,55,4,86,0,54,0,30,32,2
495,50,3,77,5,50,0,27,28,2
496,37,-1,106,-3,36,-5,69,69,0
497,41,0,83,0,42,10,41,41,0
498,37,0,98,0,30,-13,61,67,6
499,39,-3,78,6,38,0,39,39,0
500,37,-2,75,0,36,-13,37,39,2
501,37,0,77,0,-24,-3,41,103,62
502,43,0,81,0,42,-4,38,40,2
503,49,3,102,0,50,2,53,53,0
504,38,-3,77,6,38,0,39,38,0
505,45,0,76,-1,44,-6,31,32,2
506,37,-5,77,0,36,1,40,41,0
507,46,2,83,0,46,10,37,37,0
508,37,0,95,0,16,-7,58,79,22
509,37,0,83,1,-2,0,46,85,40
510,59,0,86,0,56,-5,27,29,2
511,37,0,83,0,16,-24,47,68,22
512,45,-1,79,0,46,9,34,33,0
513,45,-1,88,0,44,-16,42,44,2
514,38,0,107,0,38,5,69,68,0
515,45,-4,79,0,44,-15,33,35,2
516,44,-3,77,0,44,17,33,33,0
517,81,0,84,0,-22,-13,4,108,104
518,37,0,81,-1,36,0,44,45,0
519,48,0,82,-1,46,-2,34,35,2
520,41,0,80,2,42,0,39,39,0
521,41,-4,77,0,42,0,36,36,0
522,47,3,86,2,46,0,40,40,0
523,37,0,78,0,18,-5,41,60,18
524,41,0,79,4,42,5,38,38,0
525,42,2,86,1,42,0,44,45,2
526,62,0,109,2,60,0,47,49,2
527,49,0,85,0,50,8,36,36,0
528,64,1,113,3,62,0,49,51,2
529,37,0,77,4,8,0,41,70,28
530,37,0,77,-2,8,0,40,69,28
531,48,0,84,8,46,0,36,37,2
532,45,0,85,1,46,18,40,39,0
533,47,0,86,-7,46,0,39,40,0
534,37,0,83,0,2,-23,46,80,34
535,37,0,81,0,-2,13,44,84,40
536,54,1,82,0,54,0,28,28,0
537,43,1,76,0,42,0,33,34,2
538,41,-1,81,0,42,15,41,40,0
539,79,0,83,0,-30,38,4,114,110
540,37,0,81,-4,20,1,44,61,16
541,51,0,86,0,52,5,35,34,0
542,56,0,95,0,56,4,39,39,0
543,37,0,106,0,24,-13,68,82,14
544,48,4,77,0,46,0,28,30,2
545,45,-1,81,0,44,-17,36,37,2
546,45,4,108,0,44,0,63,64,0
547,41,-5,108,0,42,0,67,67,0
548,37,0,76,0,34,19,39,43,4
549,46,3,90,0,46,11,44,43,0
550,54,0,88,-2,54,0,34,33,0
551,37,-4,90,0,28,0,53,62,8
552,43,0,85,1,42,0,42,44,2
553,41,0,88,-3,38,-12,48,50,2
554,42,-5,84,0,42,0,42,43,2
555,51,4,85,0,50,-11,34,36,2
556,37,0,78,0,-4,16,42,83,42
557,38,-2,92,0,26,31,54,66,12
558,41,0,79,-1,38,0,39,41,2
559,45,0,88,0,44,-12,42,44,2
560,55,4,77,0,54,0,22,23,0
561,37,0,81,1,36,0,43,44,2
562,45,-1,84,0,44,-5,38,40,2
563,48,-1,84,-3,46,-5,36,38,2
564,83,0,86,0,-2,21,3,89,86
565,37,0,105,0,18,22,68,87,18
566,44,0,86,-2,44,2,43,42,0
567,51,-5,77,0,52,0,26,25,0
568,37,0,83,0,8,21,46,75,30
569,55,4,89,0,54,0,34,35,0
570,41,0,83,4,38,-7,42,44,2
571,37,0,95,0,10,14,58,84,26
572,37,0,80,0,12,11,43,67,24
573,42,0,81,4,42,0,39,39,0
574,37,0,104,0,26,-25,66,78,12
575,39,1,86,7,38,0,46,47,0
576,52,-2,83,0,52,0,32,32,0
577,42,0,86,-1,42,0,44,45,2
578,37,0,81,0,12,-1,44,68,24
579,37,0,105,5,18,0,68,87,18
580,44,-1,79,0,42,-30,36,38,2
581,55,0,83,0,54,-1,28,29,2
582,37,0,77,0,38,4,39,38,0
583,37,0,107,1,30,0,70,76,6
584,42,0,84,-1,42,-1,42,43,2
585,49,0,82,0,50,5,33,33,0
586,49,0,88,0,46,-8,40,42,2
587,45,0,88,0,46,22,42,41,0
588,53,0,88,3,52,-10,35,36,2
589,51,0,82,0,50,-12,31,33,2
590,37,0,82,-2,34,0,45,48,2
591,41,0,83,0,42,7,41,41,0
592,45,0,106,0,46,14,61,60,0
593,43,0,81,0,44,22,37,37,0
594,45,0,76,0,46,25,30,29,0
595,48,1,94,1,46,0,46,48,2
596,48,0,95,0,46,0,47,49,2
597,37,0,95,0,10,0,58,84,26
598,46,0,86,-24,46,0,40,40,0
599,52,-1,83,0,52,0,31,31,0
600,46,1,77,0,46,6,32,31,0
601,41,0,80,0,42,18,39,39,0
602,45,2,93,0,46,23,48,47,0
603,41,0,84,0,38,-28,43,45,2
604,55,-1,87,0,54,-2,32,33,2
605,43,-1,87,0,42,-15,44,46,2
606,38,2,76,0,38,10,38,37,0
607,49,0,84,3,50,0,35,35,0
608,41,1,78,0,38,-14,37,39,2
609,37,0,75,0,28,43,38,46,8
610,38,3,86,0,38,21,49,48,0
611,37,0,83,0,6,2,46,78,32
612,38,-2,80,0,38,0,42,41,0
613,45,0,77,0,44,-13,31,33,2
614,49,0,88,0,50,2,39,39,0
615,43,-5,87,0,44,20,44,43,0
616,37,0,105,-1,24,-4,68,82,14
617,54,-2,78,-1,54,0,24,24,0
618,49,4,77,0,50,3,28,28,0
619,39,0,77,-6,38,0,39,39,0
620,56,0,92,0,54,3,36,38,2
621,45,-5,82,0,44,-25,37,38,2
622,38,1,77,0,38,12,39,38,0
623,45,0,93,0,44,-4,48,50,2
624,44,1,75,0,42,-20,31,34,2
625,49,0,86,-1,50,15,38,37,0
626,41,0,82,-1,38,-13,41,43,2
627,46,0,85,0,44,-25,39,41,2
628,37,0,78,0,2,28,41,75,34
629,37,0,82,0,16,1,45,66,22
630,85,0,88,-114,0,0,3,88,84
631,37,0,100,0,34,-11,64,67,4
632,37,0,76,0,26,-9,39,50,10
633,37,0,77,1,26,9,40,51,12
634,44,0,89,0,44,17,45,45,0
635,53,1,78,0,52,-7,25,26,2
636,37,0,80,0,28,-6,43,52,8
637,37,0,79,0,24,24,42,55,14
638,41,1,106,-1,42,3,65,65,0
639,38,2,79,0,38,8,41,40,0
640,37,0,76,-4,30,22,39,45,6
641,55,4,81,1,54,0,27,27,0
642,41,0,77,0,42,15,37,36,0
643,37,0,78,0,0,-17,41,78,36
644,37,0,75,0,24,-17,38,52,14
645,62,-1,108,0,60,0,45,48,2
646,49,0,88,1,50,19,40,39,0
647,51,-2,78,0,50,-30,27,29,2
648,37,0,83,0,28,10,46,54,8
649,41,0,76,-7,42,11,34,34,0
650,37,0,77,0,34,-4,40,43,4
651,49,0,95,0,50,28,47,46,0
652,46,0,85,0,44,-27,39,41,2
653,55,1,86,0,54,0,32,32,0
654,41,0,86,-2,38,-11,45,47,2
655,45,0,83,0,46,29,37,36,0
656,47,2,83,0,46,0,36,36,0
657,80,0,84,0,-36,5,4,120,116
658,43,0,83,1,42,-8,39,41,2
659,50,0,86,6,50,0,36,37,0
660,49,2,77,0,46,-7,28,30,2
661,37,0,75,0,26,-8,38,49,12
662,53,-1,86,0,54,17,33,32,0
663,81,-3,84,0,-22,-2,4,108,104
664,42,1,79,0,42,0,37,38,0
665,37,1,76,0,20,0,39,55,16
666,37,-1,79,0,28,0,42,51,8
667,44,1,107,0,44,0,63,63,0
668,51,5,87,0,50,0,36,38,2
669,37,0,83,0,6,-10,47,78,32
670,37,0,76,0,28,21,39,48,8
